"Provincial in-migration, out-migration, net migration, rate of net migration, 2015-2016",,,,,
Province,Total population,In-migration,Out-migration,Net migration,Rate of net migration (&permil;)
Total,79814871,2619403,2619403,0,0
Adana,2201670,51466,60759,-9293,-4.2119976894
Adıyaman,610484,18789,21201,-2412,-3.9431738299
Afyonkarahisar,714523,22467,24400,-1933,-2.7016469145
Ağrı,542255,14306,30811,-16505,-29.9814262294
Amasya,326351,15395,13609,1786,5.4876512484
Ankara,5346518,177166,159915,17251,3.2317998161
Antalya,2328555,79203,73119,6084,2.6161969424
Artvin,168068,8240,9283,-1043,-6.1866249084
Aydın,1068260,40363,33119,7244,6.8041907202
Balıkesir,1196176,43475,38566,4909,4.1123494886
Bilecik,218297,11031,9911,1120,5.143820297
Bingöl,269560,10304,11205,-901,-3.3369072684
Bitlis,341225,12571,18074,-5503,-15.9981859226
Bolu,299896,18528,11762,6766,22.8185610749
Burdur,261401,12337,11059,1278,4.9010208543
Bursa,2901396,84458,63812,20646,7.1412932154
Çanakkale,519793,25116,20024,5092,9.8444263572
Çankırı,183880,13371,13088,283,1.5402324499
Çorum,527863,16688,20420,-3732,-7.0451117458
Denizli,1005687,28170,24794,3376,3.36255315
Diyarbakır,1673119,39177,55604,-16427,-9.7702268885
Edirne,401701,16623,17190,-567,-1.4105021462
Elazığ,578789,18990,20519,-1529,-2.6382378849
Erzincan,226032,12666,12748,-82,-0.3627146983
Erzurum,762021,26957,36340,-9383,-12.2379640348
Eskişehir,844842,36687,25785,10902,12.9879877197
Gaziantep,1974244,45726,50003,-4277,-2.1640547819
Giresun,444467,35376,20284,15092,34.5417134905
Gümüşhane,172034,26681,18343,8338,49.6708664701
Hakkari,267813,5945,16067,-10122,-37.0940434046
Hatay,1555165,34195,37627,-3432,-2.2044074017
Isparta,427324,19899,17240,2659,6.241864625
Mersin,1773852,54962,52763,2199,1.240443886
İstanbul,14804116,369582,440889,-71307,-4.8051285433
İzmir,4223545,122668,98902,23766,5.642902968
Kars,289786,10209,16590,-6381,-21.7799038489
Kastamonu,376945,20577,18898,1679,4.4641729515
Kayseri,1358980,35573,35540,33,0.0242832129
Kırklareli,351684,16882,13175,3707,10.5965603342
Kırşehir,229975,12188,11362,826,3.5981564893
Kocaeli,1830772,85602,60479,25123,13.81743203
Konya,2161303,56500,54712,1788,0.8276210662
Kütahya,573642,18382,20691,-2309,-4.0170738688
Malatya,781305,27777,27613,164,0.2099272551
Manisa,1396945,39999,35685,4314,3.092943157
Kahramanmaraş,1112634,27307,28971,-1664,-1.4944326993
Mardin,796237,21439,38823,-17384,-21.5969358788
Muğla,923773,39076,31520,7556,8.2130881146
Muş,406501,11309,21683,-10374,-25.1986941567
Nevşehir,290895,11703,11091,612,2.1060673322
Niğde,351468,14823,13589,1234,3.5171625562
Ordu,750588,42995,27229,15766,21.2278091571
Rize,331048,15006,15604,-598,-1.8047545323
Sakarya,976948,35228,28965,6263,6.4313964695
Samsun,1295927,41687,41187,500,0.385898646
Siirt,322664,10775,15068,-4293,-13.2169372603
Sinop,205478,10190,9784,406,1.9778346121
Sivas,621224,22966,26369,-3403,-5.4629325658
Tekirdağ,972875,56536,32290,24246,25.2364814229
Tokat,602662,36572,33380,3192,5.3105648964
Trabzon,779379,28680,26775,1905,2.4472445375
Tunceli,82193,4822,7031,-2209,-26.5194033434
Şanlıurfa,1940627,38662,49789,-11127,-5.71732315
Uşak,358736,11737,10701,1036,2.8920936413
Van,1100190,28902,49035,-20133,-18.133647495
Yozgat,421041,17736,21825,-4089,-9.6647131608
Zonguldak,597524,19991,21933,-1942,-3.244805721
Aksaray,396673,15234,12294,2940,7.4392147833
Bayburt,90154,16981,6653,10328,121.5201788446
Karaman,245610,9519,9813,-294,-1.1963036658
Kırıkkale,277984,14776,13300,1476,5.3237918672
Batman,576899,18757,21489,-2732,-4.7244775319
Şırnak,483788,11102,24122,-13020,-26.5552786265
Bartın,192389,8940,8108,832,4.333942794
Ardahan,98335,5164,6880,-1716,-17.2996078352
Iğdır,192785,6721,9368,-2647,-13.636703184
Yalova,241665,12825,10493,2332,9.6965060146
Karabük,242347,16719,13416,3303,13.7227326643
Kilis,130825,5740,8043,-2303,-17.4500763393
Osmaniye,522175,19558,17683,1875,3.5972085662
Düzce,370371,15958,11119,4839,13.1511897628
